"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"dids_S",1,1124,83.4866548042705,29.1657345369409,84,84.0877777777778,34.0998,7,140,133,-0.160477189711741,-0.730460656707389,0.86994092688109
"dids_M",2,1124,2.38533299440773,0.833306701055455,2.4,2.40250793650794,0.97428,0.2,4,3.8,-0.160477189711743,-0.730460656707389,0.0248554550537454
